Sl. No,State/UT,District,No of 5G BTS installed,No of 5G BTS Fiberized
737,West Bengal,Cooch Behar,476,259
738,West Bengal,Darjeeling,589,451
739,West Bengal,Alipurduar,303,176
740,West Bengal,Jalpaiguri,644,428
741,West Bengal,Jhargram,199,149
742,West Bengal,Hoogly,2061,1490
743,West Bengal,Howrah,2247,1647
744,West Bengal,North 24 Paraganas,4750,3647
745,West Bengal,South 24 Paraganas,2868,1920
746,West Bengal,Nadia,1550,1106
747,West Bengal,Malda,847,498
748,West Bengal,Kolkata,3696,2941
749,West Bengal,East Midnapore,1359,700
750,West Bengal,West Midnapore,899,572
751,West Bengal,Purulia,558,356
752,West Bengal,Uttar Dinajpur,523,358
753,West Bengal,Kalimpong,74,47
754,West Bengal,Birbhum,758,511
Total,Total,Total,448923,303154
